total_score	I_sc	description
-768.865	-4.213	complex_global_dock_04223
-767.363	-4.211	complex_global_dock_06488
-767.975	-4.210	complex_global_dock_06109
-768.391	-4.210	complex_global_dock_05852
-768.985	-4.210	complex_global_dock_02065
-768.250	-4.209	complex_global_dock_02651
-768.256	-4.209	complex_global_dock_01066
-768.866	-4.208	complex_global_dock_08455
-767.148	-4.205	complex_global_dock_06691
-768.233	-4.205	complex_global_dock_09705
-767.043	-4.196	complex_global_dock_02330
-768.428	-4.196	complex_global_dock_07222
-767.048	-4.195	complex_global_dock_01781
-766.726	-4.194	complex_global_dock_06268
-768.407	-4.194	complex_global_dock_00765
-768.148	-4.192	complex_global_dock_05099
-768.318	-4.192	complex_global_dock_06003
-768.345	-4.192	complex_global_dock_00581
-767.861	-4.191	complex_global_dock_09631
-767.260	-4.190	complex_global_dock_04805
-767.401	-4.190	complex_global_dock_04992
-769.178	-4.190	complex_global_dock_03918
-767.565	-4.189	complex_global_dock_05507
-767.141	-4.188	complex_global_dock_08298
-768.331	-4.188	complex_global_dock_07152
-768.450	-4.188	complex_global_dock_06234
-768.294	-4.185	complex_global_dock_04371
-768.344	-4.182	complex_global_dock_02162
-768.813	-4.181	complex_global_dock_03494
-768.192	-4.179	complex_global_dock_02609
-768.285	-4.178	complex_global_dock_03030
-768.125	-4.171	complex_global_dock_06069
-768.805	-4.171	complex_global_dock_07834
-768.761	-4.170	complex_global_dock_03565
-765.869	-4.168	complex_global_dock_01130
-768.042	-4.168	complex_global_dock_03318
-768.419	-4.168	complex_global_dock_05848
-767.925	-4.166	complex_global_dock_09502
-768.548	-4.166	complex_global_dock_01964
-768.825	-4.165	complex_global_dock_08280
-768.709	-4.164	complex_global_dock_00865
-769.049	-4.164	complex_global_dock_04838
-766.011	-4.163	complex_global_dock_03633
-768.026	-4.163	complex_global_dock_04923
-767.701	-4.162	complex_global_dock_03177
-768.948	-4.162	complex_global_dock_07311
-767.275	-4.159	complex_global_dock_07826
-767.990	-4.158	complex_global_dock_04014
-768.291	-4.158	complex_global_dock_01770
-768.860	-4.155	complex_global_dock_09363
-767.549	-4.154	complex_global_dock_02709
-768.044	-4.154	complex_global_dock_01699
-768.403	-4.154	complex_global_dock_09115
-767.531	-4.153	complex_global_dock_09276
-768.285	-4.151	complex_global_dock_03521
-768.498	-4.150	complex_global_dock_07252
-765.713	-4.149	complex_global_dock_08461
-768.177	-4.149	complex_global_dock_08894
-767.237	-4.147	complex_global_dock_07280
-767.588	-4.147	complex_global_dock_01807
-768.001	-4.146	complex_global_dock_01044
-768.163	-4.145	complex_global_dock_06514
-767.124	-4.143	complex_global_dock_00790
-768.030	-4.143	complex_global_dock_09550
-768.597	-4.143	complex_global_dock_09345
-768.339	-4.141	complex_global_dock_06097
-768.749	-4.140	complex_global_dock_02096
-768.111	-4.139	complex_global_dock_04726
-767.838	-4.136	complex_global_dock_06673
-768.039	-4.133	complex_global_dock_06233
-768.250	-4.132	complex_global_dock_05868
-768.298	-4.131	complex_global_dock_00834
-767.438	-4.121	complex_global_dock_02598
-767.583	-4.121	complex_global_dock_00685
-767.294	-4.120	complex_global_dock_04545
-767.551	-4.120	complex_global_dock_02937
-767.887	-4.120	complex_global_dock_01146
-768.156	-4.120	complex_global_dock_06126
-768.692	-4.119	complex_global_dock_03424
-767.518	-4.118	complex_global_dock_08017
-768.599	-4.117	complex_global_dock_04980
-768.274	-4.116	complex_global_dock_02688
-768.032	-4.115	complex_global_dock_06050
-768.057	-4.115	complex_global_dock_09026
-767.120	-4.114	complex_global_dock_06391
-767.719	-4.114	complex_global_dock_03726
-768.537	-4.111	complex_global_dock_09475
-768.598	-4.110	complex_global_dock_04141
-768.732	-4.110	complex_global_dock_06692
-768.181	-4.108	complex_global_dock_08444
-768.396	-4.107	complex_global_dock_02961
